DATE,TIME,実績(万kW),DATETIME
2021/4/16,8:00,686,2021-04-16 8:00:00
2021/4/16,9:00,704,2021-04-16 9:00:00
2021/4/16,10:00,698,2021-04-16 10:00:00
2021/4/16,11:00,704,2021-04-16 11:00:00
2021/4/16,12:00,667,2021-04-16 12:00:00
2021/4/16,13:00,698,2021-04-16 13:00:00
2021/4/16,14:00,685,2021-04-16 14:00:00
2021/4/16,15:00,687,2021-04-16 15:00:00
2021/4/16,16:00,690,2021-04-16 16:00:00
2021/4/16,17:00,678,2021-04-16 17:00:00
2021/4/16,18:00,687,2021-04-16 18:00:00
2021/4/16,19:00,679,2021-04-16 19:00:00
2021/4/16,20:00,658,2021-04-16 20:00:00
2021/4/16,21:00,620,2021-04-16 21:00:00
2021/4/16,22:00,585,2021-04-16 22:00:00
2021/4/16,23:00,561,2021-04-16 23:00:00
2021/4/17,0:00,539,2021-04-17 0:00:00
2021/4/17,1:00,543,2021-04-17 1:00:00
2021/4/17,2:00,575,2021-04-17 2:00:00
2021/4/17,3:00,609,2021-04-17 3:00:00
2021/4/17,4:00,618,2021-04-17 4:00:00
2021/4/17,5:00,589,2021-04-17 5:00:00
2021/4/17,6:00,565,2021-04-17 6:00:00
2021/4/17,7:00,570,2021-04-17 7:00:00
2021/4/17,8:00,603,2021-04-17 8:00:00
2021/4/17,9:00,629,2021-04-17 9:00:00
2021/4/17,10:00,621,2021-04-17 10:00:00
2021/4/17,11:00,606,2021-04-17 11:00:00
2021/4/17,12:00,579,2021-04-17 12:00:00
2021/4/17,13:00,568,2021-04-17 13:00:00
2021/4/17,14:00,548,2021-04-17 14:00:00
2021/4/17,15:00,543,2021-04-17 15:00:00
2021/4/17,16:00,553,2021-04-17 16:00:00
2021/4/17,17:00,570,2021-04-17 17:00:00
2021/4/17,18:00,595,2021-04-17 18:00:00
2021/4/17,19:00,604,2021-04-17 19:00:00
2021/4/17,20:00,588,2021-04-17 20:00:00
2021/4/17,21:00,570,2021-04-17 21:00:00
2021/4/17,22:00,542,2021-04-17 22:00:00
2021/4/17,23:00,526,2021-04-17 23:00:00
2021/4/18,0:00,515,2021-04-18 0:00:00
2021/4/18,1:00,522,2021-04-18 1:00:00
2021/4/18,2:00,555,2021-04-18 2:00:00
2021/4/18,3:00,595,2021-04-18 3:00:00
2021/4/18,4:00,608,2021-04-18 4:00:00
2021/4/18,5:00,589,2021-04-18 5:00:00
2021/4/18,6:00,563,2021-04-18 6:00:00
2021/4/18,7:00,542,2021-04-18 7:00:00
2021/4/18,8:00,551,2021-04-18 8:00:00
2021/4/18,9:00,562,2021-04-18 9:00:00
2021/4/18,10:00,555,2021-04-18 10:00:00
2021/4/18,11:00,556,2021-04-18 11:00:00
