需給実績公表,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります。,,,,,,,,,,,（単位：MWh）
,,,,,,,,,,,
DATE,TIME,"エリアの
需要実績",,エリアの供給実績,,,,,,,
,,,,火力,水力,バイオマス,太陽光,,風力,,合計
,,,,,,,,"太陽光
出力制御量",,"風力
出力制御量",
,,,,,,,,,,,
2023/4/6,1:00,604.3,,597.9,0.9,2.4,0,0,3.1,0,604.3
2023/4/6,2:00,613.7,,605.3,0.9,2.4,0,0,5.1,0,613.7
2023/4/6,3:00,647,,637.7,0.9,2.4,0,0,6,0,647
2023/4/6,4:00,662.5,,653.6,0.9,2.4,0,0,5.6,0,662.5
2023/4/6,5:00,661.4,,653.4,0.9,2.4,0,0,4.7,0,661.4
2023/4/6,6:00,672,,660.2,0.9,2.4,4.5,0,4,0,672
2023/4/6,7:00,718.9,,684,0.9,2.4,28.3,0,3.3,0,718.9
2023/4/6,8:00,801.2,,716.6,0.9,2.4,78.8,0,2.5,0,801.2
2023/4/6,9:00,845.8,,700.4,0.9,2.4,140.2,0,1.9,0,845.8
2023/4/6,10:00,889.7,,682.5,0.9,2.4,202.1,0,1.8,0,889.7
2023/4/6,11:00,886.6,,692.4,0.9,2.4,188.8,0,2.1,0,886.6
2023/4/6,12:00,900.2,,677.8,0.9,2.4,216.6,0,2.5,0,900.2
2023/4/6,13:00,915,,704.9,0.9,2.4,204.4,0,2.4,0,915
2023/4/6,14:00,894,,724.8,0.9,2.4,163.2,0,2.7,0,894
2023/4/6,15:00,878.7,,761.4,0.9,2.4,111.4,0,2.6,0,878.7
2023/4/6,16:00,880.7,,796.5,0.9,2.4,78.1,0,2.8,0,880.7
2023/4/6,17:00,876.6,,829.7,0.9,2.4,41.1,0,2.5,0,876.6
2023/4/6,18:00,888.9,,875.2,0.9,2.4,8.6,0,1.8,0,888.9
2023/4/6,19:00,903.3,,898.3,0.9,2.4,0,0,1.7,0,903.3
2023/4/6,20:00,871.6,,866.7,0.9,2.4,0,0,1.6,0,871.6
2023/4/6,21:00,822.4,,817.4,0.9,2.4,0,0,1.7,0,822.4
2023/4/6,22:00,756.1,,750.9,0.9,2.4,0,0,1.9,0,756.1
2023/4/6,23:00,706.5,,701.1,0.9,2.4,0,0,2.1,0,706.5
2023/4/7,0:00,651.8,,646,0.9,2.4,0,0,2.5,0,651.8
2023/4/7,1:00,622.5,,616.3,0.9,2.4,0,0,2.9,0,622.5
2023/4/7,2:00,629.4,,623.1,0.9,2.4,0,0,3,0,629.4
2023/4/7,3:00,658.9,,652.9,0.9,2.4,0,0,2.7,0,658.9
2023/4/7,4:00,674,,668.2,0.9,2.4,0,0,2.5,0,674
2023/4/7,5:00,679.2,,673.6,0.9,2.4,0,0,2.3,0,679.2
2023/4/7,6:00,691.9,,683.2,0.9,2.4,3.1,0,2.3,0,691.9
2023/4/7,7:00,756.2,,737.9,0.9,2.4,12.3,0,2.7,0,756.2
2023/4/7,8:00,829,,783.7,0.9,2.4,38.7,0,3.3,0,829
2023/4/7,9:00,896.3,,837.1,0.9,2.4,52.3,0,3.6,0,896.3
2023/4/7,10:00,905.9,,862.4,0.9,2.4,36.3,0,3.9,0,905.9
2023/4/7,11:00,889.2,,847.3,0.9,2.4,35.2,0,3.4,0,889.2
2023/4/7,12:00,840.3,,791.7,0.9,2.4,42.1,0,3.2,0,840.3
2023/4/7,13:00,849.4,,794.4,0.9,2.4,47.9,0,3.8,0,849.4
2023/4/7,14:00,848.3,,810.4,0.9,2.4,30,0,4.6,0,848.3
2023/4/7,15:00,843.6,,813.1,0.9,2.4,22.6,0,4.6,0,843.6
2023/4/7,16:00,838.4,,817,0.9,2.4,13.9,0,4.2,0,838.4
2023/4/7,17:00,834.2,,817.1,0.9,2.4,9.3,0,4.5,0,834.2
2023/4/7,18:00,846.2,,836.4,0.9,2.4,2.3,0,4.2,0,846.2
2023/4/7,19:00,840.3,,832.5,0.9,2.4,0,0,4.5,0,840.3
2023/4/7,20:00,807.9,,799.7,0.9,2.4,0,0,4.9,0,807.9
2023/4/7,21:00,769.1,,759.7,0.9,2.4,0,0,6.1,0,769.1
2023/4/7,22:00,740,,729,0.9,2.4,0,0,7.7,0,740
2023/4/7,23:00,707.4,,695.7,0.9,2.4,0,0,8.4,0,707.4
2023/4/8,0:00,662.9,,650.1,0.9,2.9,0,0,9,0,662.9
2023/4/8,1:00,631.2,,618.2,0.9,2.9,0,0,9.2,0,631.2
2023/4/8,2:00,640.7,,627.6,0.9,2.9,0,0,9.3,0,640.7
2023/4/8,3:00,671.3,,658.1,0.9,2.9,0,0,9.4,0,671.3
2023/4/8,4:00,680.7,,667.9,0.9,2.9,0,0,9,0,680.7
2023/4/8,5:00,667.4,,655.2,0.9,2.9,0,0,8.4,0,667.4
2023/4/8,6:00,652.7,,639.4,0.9,2.9,1.5,0,8,0,652.7
2023/4/8,7:00,670.8,,645.7,0.9,2.9,12.6,0,8.7,0,670.8
2023/4/8,8:00,706.5,,655.6,0.9,2.9,38.8,0,8.3,0,706.5
2023/4/8,9:00,719.6,,624.9,0.9,2.9,82.3,0,8.6,0,719.6
2023/4/8,10:00,764.9,,582.3,0.9,2.9,169.7,0,9.1,0,764.9
2023/4/8,11:00,804.1,,569.3,0.9,2.9,221.8,0,9.2,0,804.1
2023/4/8,12:00,799.6,,562.4,0.9,2.9,224.4,0,9,0,799.6
2023/4/8,13:00,791,,545.2,0.9,2.9,232.9,0,9.1,0,791
2023/4/8,14:00,785.1,,534.5,0.9,2.9,237.7,0,9.1,0,785.1
2023/4/8,15:00,764.6,,573,0.9,2.9,178.8,0,9,0,764.6
2023/4/8,16:00,765,,634.3,0.9,2.9,118,0,8.9,0,765
2023/4/8,17:00,764.4,,698.1,0.9,2.9,53.8,0,8.7,0,764.4
2023/4/8,18:00,792.4,,769,0.9,2.9,11,0,8.6,0,792.4
2023/4/8,19:00,823.2,,811.6,0.9,2.9,0,0,7.8,0,823.2
2023/4/8,20:00,803.9,,792.5,0.9,2.9,0,0,7.6,0,803.9
2023/4/8,21:00,764.3,,754.4,0.9,2.9,0,0,6.1,0,764.3
2023/4/8,22:00,713.7,,704.9,0.9,2.9,0,0,5,0,713.7
2023/4/8,23:00,668.5,,660,0.9,2.9,0,0,4.7,0,668.5
2023/4/9,0:00,625.5,,616.7,0.9,2.9,0,0,5,0,625.5
2023/4/9,1:00,605.5,,597,0.9,2.9,0,0,4.7,0,605.5
2023/4/9,2:00,617.4,,609.3,0.9,2.9,0,0,4.3,0,617.4
2023/4/9,3:00,648.5,,640.8,0.9,2.9,0,0,3.9,0,648.5
2023/4/9,4:00,661.3,,653.5,0.9,2.9,0,0,4,0,661.3
2023/4/9,5:00,646.4,,638.9,0.9,2.9,0,0,3.7,0,646.4
2023/4/9,6:00,606.8,,594.4,0.9,2.9,5.9,0,2.7,0,606.8
2023/4/9,7:00,619.2,,571.7,0.9,2.9,41.5,0,2.2,0,619.2
2023/4/9,8:00,657.8,,540.2,0.9,2.9,111.9,0,1.9,0,657.8
2023/4/9,9:00,712.5,,522.7,0.9,2.9,184.3,0,1.7,0,712.5
2023/4/9,10:00,735.4,,518.5,0.9,2.9,211.4,0,1.7,0,735.4
2023/4/9,11:00,737.9,,507.5,0.9,2.9,225.4,1.3,1.2,0,737.9
2023/4/9,12:00,738.2,,534.5,0.9,2.9,199.1,27,0.8,0,738.2
2023/4/9,13:00,735,,526.3,0.9,2.9,204.4,24.2,0.5,0,735
2023/4/9,14:00,725.8,,516.3,0.9,2.9,205.2,0,0.5,0,725.8
2023/4/9,15:00,724.6,,560.6,0.9,2.9,159.6,0,0.6,0,724.6
2023/4/9,16:00,698.8,,612,0.9,2.9,82.4,0,0.6,0,698.8
2023/4/9,17:00,729.6,,689.4,0.9,2.9,35.8,0,0.6,0,729.6
2023/4/9,18:00,778.4,,766,0.9,2.9,8,0,0.6,0,778.4
2023/4/9,19:00,820.6,,816.2,0.9,2.9,0,0,0.6,0,820.6
2023/4/9,20:00,800.2,,795.7,0.9,2.9,0,0,0.7,0,800.2
2023/4/9,21:00,756.3,,752.1,0.9,2.9,0,0,0.4,0,756.3
2023/4/9,22:00,705.2,,701.2,0.9,2.9,0,0,0.2,0,705.2
2023/4/9,23:00,652.7,,648.8,0.9,2.9,0,0,0.1,0,652.7
2023/4/10,0:00,612.3,,608.6,0.9,2.8,0,0,0,0,612.3
2023/4/10,1:00,591.3,,587.6,0.9,2.8,0,0,0,0,591.3
2023/4/10,2:00,611.1,,607.4,0.9,2.8,0,0,0,0,611.1
2023/4/10,3:00,646.2,,642.4,0.9,2.8,0,0,0.1,0,646.2
2023/4/10,4:00,667.2,,663.4,0.9,2.8,0,0,0.1,0,667.2
2023/4/10,5:00,671.3,,667.4,0.9,2.8,0,0,0.2,0,671.3
2023/4/10,6:00,674.9,,664.8,0.9,2.8,6.4,0,0,0,674.9
2023/4/10,7:00,716.2,,664.9,0.9,2.8,47.6,0,0,0,716.2
2023/4/10,8:00,750.5,,635.9,0.9,2.8,110.8,7.8,0.1,0,750.5
2023/4/10,9:00,792.1,,624,0.9,2.8,164.2,11.5,0.2,0.1,792.1
2023/4/10,10:00,810.7,,612.1,0.9,2.8,194.5,13.7,0.4,0.2,810.7
2023/4/10,11:00,827.4,,599.9,0.9,2.8,222.9,15.6,0.9,0.3,827.4
2023/4/10,12:00,818.2,,563.3,0.9,2.8,249.4,17.5,1.8,0.4,818.2
