DATE,TIME,当日実績(万kW)
2020/01/23,08:00,1982
2020/01/23,09:00,2102
2020/01/23,10:00,2068
2020/01/23,11:00,2041
2020/01/23,12:00,1902
2020/01/23,13:00,2003
2020/01/23,14:00,1989
2020/01/23,15:00,1956
2020/01/23,16:00,1972
2020/01/23,17:00,1965
2020/01/23,18:00,1925
2020/01/23,19:00,1844
2020/01/23,20:00,1775
2020/01/23,21:00,1696
2020/01/23,22:00,1619
2020/01/23,23:00,1550
DATE,TIME,当日実績(万kW)
2020/01/24,00:00,1456
2020/01/24,01:00,1424
2020/01/24,02:00,1429
2020/01/24,03:00,1437
2020/01/24,04:00,1429
2020/01/24,05:00,1454
2020/01/24,06:00,1575
2020/01/24,07:00,1695
2020/01/24,08:00,1869
2020/01/24,09:00,1967
2020/01/24,10:00,1911
2020/01/24,11:00,1875
2020/01/24,12:00,1716
2020/01/24,13:00,1807
2020/01/24,14:00,1785
2020/01/24,15:00,1760
2020/01/24,16:00,1794
2020/01/24,17:00,1826
2020/01/24,18:00,1816
2020/01/24,19:00,1756
2020/01/24,20:00,1708
2020/01/24,21:00,1669
2020/01/24,22:00,1605
2020/01/24,23:00,1553
DATE,TIME,当日実績(万kW)
2020/01/25,00:00,1468
2020/01/25,01:00,1435
2020/01/25,02:00,1434
2020/01/25,03:00,1433
2020/01/25,04:00,1402
2020/01/25,05:00,1384
2020/01/25,06:00,1413
2020/01/25,07:00,1466
2020/01/25,08:00,1561
2020/01/25,09:00,1605
2020/01/25,10:00,1562
2020/01/25,11:00,1522
2020/01/25,12:00,1432
2020/01/25,13:00,1432
2020/01/25,14:00,1423
2020/01/25,15:00,1413
2020/01/25,16:00,1480
2020/01/25,17:00,1568
2020/01/25,18:00,1588
2020/01/25,19:00,1553
2020/01/25,20:00,1518
2020/01/25,21:00,1452
2020/01/25,22:00,1376
2020/01/25,23:00,1318
DATE,TIME,当日実績(万kW)
2020/01/26,00:00,1234
2020/01/26,01:00,1226
2020/01/26,02:00,1246
2020/01/26,03:00,1255
2020/01/26,04:00,1231
2020/01/26,05:00,1219
2020/01/26,06:00,1243
2020/01/26,07:00,1296
2020/01/26,08:00,1378
2020/01/26,09:00,1425
2020/01/26,10:00,1416
2020/01/26,11:00,1377
2020/01/26,12:00,1351
2020/01/26,13:00,1303
2020/01/26,14:00,1281
2020/01/26,15:00,1288
2020/01/26,16:00,1348
2020/01/26,17:00,1485
2020/01/26,18:00,1520
2020/01/26,19:00,1513
2020/01/26,20:00,1495
2020/01/26,21:00,1433
2020/01/26,22:00,1358
2020/01/26,23:00,1308
DATE,TIME,当日実績(万kW)
2020/01/27,00:00,1239
2020/01/27,01:00,1222
2020/01/27,02:00,1249
2020/01/27,03:00,1263
2020/01/27,04:00,1284
2020/01/27,05:00,1350
