DATE,TIME,????????(??kW)
2019/05/20,00:00,1004
2019/05/20,01:00,984
2019/05/20,02:00,1016
2019/05/20,03:00,1052
2019/05/20,04:00,1077
2019/05/20,05:00,1083
2019/05/20,06:00,1149
2019/05/20,07:00,1293
2019/05/20,08:00,1521
2019/05/20,09:00,1662
2019/05/20,10:00,1691
2019/05/20,11:00,1694
2019/05/20,12:00,1574
2019/05/20,13:00,1693
2019/05/20,14:00,1706
2019/05/20,15:00,1664
2019/05/20,16:00,1674
2019/05/20,17:00,1625
2019/05/20,18:00,1611
2019/05/20,19:00,1550
2019/05/20,20:00,1485
2019/05/20,21:00,1442
2019/05/20,22:00,1395
2019/05/20,23:00,1339
DATE,TIME,当日実績(万kW)
2019/05/21,00:00,1271
2019/05/21,01:00,1237
2019/05/21,02:00,1246
2019/05/21,03:00,1274
2019/05/21,04:00,1290
2019/05/21,05:00,1289
2019/05/21,06:00,1319
2019/05/21,07:00,1426
2019/05/21,08:00,1625
2019/05/21,09:00,1748
2019/05/21,10:00,1771
2019/05/21,11:00,1779
2019/05/21,12:00,1642
2019/05/21,13:00,1756
2019/05/21,14:00,1758
2019/05/21,15:00,1720
2019/05/21,16:00,1719
2019/05/21,17:00,1649
2019/05/21,18:00,1611
2019/05/21,19:00,1573
2019/05/21,20:00,1504
2019/05/21,21:00,1448
2019/05/21,22:00,1397
2019/05/21,23:00,1345
DATE,TIME,当日実績(万kW)
2019/05/22,00:00,1261
2019/05/22,01:00,1214
2019/05/22,02:00,1227
2019/05/22,03:00,1260
2019/05/22,04:00,1265
2019/05/22,05:00,1240
2019/05/22,06:00,1288
2019/05/22,07:00,1368
2019/05/22,08:00,1569
2019/05/22,09:00,1709
2019/05/22,10:00,1725
2019/05/22,11:00,1748
2019/05/22,12:00,1625
2019/05/22,13:00,1745
2019/05/22,14:00,1749
2019/05/22,15:00,1718
2019/05/22,16:00,1723
2019/05/22,17:00,1644
2019/05/22,18:00,1599
2019/05/22,19:00,1572
2019/05/22,20:00,1501
2019/05/22,21:00,1444
2019/05/22,22:00,1390
2019/05/22,23:00,1333
DATE,TIME,当日実績(万kW)
2019/05/23,00:00,1243
2019/05/23,01:00,1198
2019/05/23,02:00,1208
2019/05/23,03:00,1240
2019/05/23,04:00,1251
2019/05/23,05:00,1232
2019/05/23,06:00,1287
2019/05/23,07:00,1371
2019/05/23,08:00,1568
2019/05/23,09:00,1716
2019/05/23,10:00,1754
2019/05/23,11:00,1772
2019/05/23,12:00,1643
2019/05/23,13:00,1766
2019/05/23,14:00,1780
2019/05/23,15:00,1749
2019/05/23,16:00,1765
2019/05/23,17:00,1681
2019/05/23,18:00,1629
2019/05/23,19:00,1592
2019/05/23,20:00,1521
2019/05/23,21:00,1457
2019/05/23,22:00,1398
2019/05/23,23:00,1336
DATE,TIME,当日実績(万kW)
2019/05/24,00:00,1256
2019/05/24,01:00,1209
2019/05/24,02:00,1210
2019/05/24,03:00,1244
2019/05/24,04:00,1249
2019/05/24,05:00,1217
2019/05/24,06:00,1275
2019/05/24,07:00,1364
2019/05/24,08:00,1571
2019/05/24,09:00,1717
2019/05/24,10:00,1758
2019/05/24,11:00,1781
2019/05/24,12:00,1666
2019/05/24,13:00,1789
2019/05/24,14:00,1812
2019/05/24,15:00,1786
2019/05/24,16:00,1775
2019/05/24,17:00,1671
2019/05/24,18:00,1612
2019/05/24,19:00,1583
2019/05/24,20:00,1507
2019/05/24,21:00,1455
2019/05/24,22:00,1396
2019/05/24,23:00,1337
DATE,TIME,当日実績(万kW)
2019/05/25,00:00,1244
2019/05/25,01:00,1183
2019/05/25,02:00,1181
2019/05/25,03:00,1205
2019/05/25,04:00,1198
2019/05/25,05:00,1144
2019/05/25,06:00,1143
2019/05/25,07:00,1168
2019/05/25,08:00,1255
2019/05/25,09:00,1340
2019/05/25,10:00,1393
2019/05/25,11:00,1418
2019/05/25,12:00,1393
2019/05/25,13:00,1428
2019/05/25,14:00,1426
2019/05/25,15:00,1420
2019/05/25,16:00,1416
2019/05/25,17:00,1377
2019/05/25,18:00,1366
2019/05/25,19:00,1366
2019/05/25,20:00,1313
2019/05/25,21:00,1244
2019/05/25,22:00,1174
2019/05/25,23:00,1127
DATE,TIME,当日実績(万kW)
2019/05/26,00:00,1053
2019/05/26,01:00,1007
2019/05/26,02:00,1018
2019/05/26,03:00,1049
2019/05/26,04:00,1051
2019/05/26,05:00,1008
2019/05/26,06:00,1009
2019/05/26,07:00,1037
2019/05/26,08:00,1104
2019/05/26,09:00,1183
2019/05/26,10:00,1232
2019/05/26,11:00,1265
2019/05/26,12:00,1262
2019/05/26,13:00,1287
2019/05/26,14:00,1284
2019/05/26,15:00,1301
2019/05/26,16:00,1309
2019/05/26,17:00,1326
2019/05/26,18:00,1341
2019/05/26,19:00,1354
2019/05/26,20:00,1300
2019/05/26,21:00,1236
2019/05/26,22:00,1166
2019/05/26,23:00,1128
DATE,TIME,当日実績(万kW)
2019/05/27,00:00,1061
2019/05/27,01:00,1016
2019/05/27,02:00,1039
2019/05/27,03:00,1069
2019/05/27,04:00,1094
2019/05/27,05:00,1096
2019/05/27,06:00,1185
2019/05/27,07:00,1364
2019/05/27,08:00,1615
2019/05/27,09:00,1822
2019/05/27,10:00,1896
2019/05/27,11:00,1922
2019/05/27,12:00,1840
2019/05/27,13:00,1962
2019/05/27,14:00,1980
2019/05/27,15:00,1936
2019/05/27,16:00,1877
2019/05/27,17:00,1763
2019/05/27,18:00,1724
2019/05/27,19:00,1663
2019/05/27,20:00,1580
2019/05/27,21:00,1529
2019/05/27,22:00,1486
2019/05/27,23:00,1417
DATE,TIME,当日実績(万kW)
2019/05/28,00:00,1329
2019/05/28,01:00,1269
2019/05/28,02:00,1261
2019/05/28,03:00,1285
2019/05/28,04:00,1294
2019/05/28,05:00,1278
2019/05/28,06:00,1318
2019/05/28,07:00,1433
2019/05/28,08:00,1662
2019/05/28,09:00,1802
2019/05/28,10:00,1815
2019/05/28,11:00,1801
2019/05/28,12:00,1659
2019/05/28,13:00,1765
2019/05/28,14:00,1774
2019/05/28,15:00,1741
2019/05/28,16:00,1742
2019/05/28,17:00,1691
2019/05/28,18:00,1657
2019/05/28,19:00,1588
2019/05/28,20:00,1514
2019/05/28,21:00,1460
2019/05/28,22:00,1403
2019/05/28,23:00,1352
DATE,TIME,当日実績(万kW)
2019/05/29,00:00,1262
2019/05/29,01:00,1212
2019/05/29,02:00,1224
2019/05/29,03:00,1231
2019/05/29,04:00,1252
2019/05/29,05:00,1234
2019/05/29,06:00,1267
2019/05/29,07:00,1370
2019/05/29,08:00,1559
2019/05/29,09:00,1692
2019/05/29,10:00,1708
2019/05/29,11:00,1707
2019/05/29,12:00,1594
2019/05/29,13:00,1710
2019/05/29,14:00,1716
2019/05/29,15:00,1684
2019/05/29,16:00,1690
2019/05/29,17:00,1609
2019/05/29,18:00,1565
2019/05/29,19:00,1552
2019/05/29,20:00,1487
2019/05/29,21:00,1436
2019/05/29,22:00,1373
2019/05/29,23:00,1326
DATE,TIME,当日実績(万kW)
2019/05/30,00:00,1233
2019/05/30,01:00,1188
2019/05/30,02:00,1200
2019/05/30,03:00,1230
2019/05/30,04:00,1242
2019/05/30,05:00,1224
2019/05/30,06:00,1290
2019/05/30,07:00,1375
2019/05/30,08:00,1572
2019/05/30,09:00,1710
2019/05/30,10:00,1749
2019/05/30,11:00,1764
2019/05/30,12:00,1640
2019/05/30,13:00,1752
2019/05/30,14:00,1768
2019/05/30,15:00,1737
2019/05/30,16:00,1732
2019/05/30,17:00,1653
2019/05/30,18:00,1607
2019/05/30,19:00,1588
2019/05/30,20:00,1513
2019/05/30,21:00,1463
2019/05/30,22:00,1401
2019/05/30,23:00,1347
DATE,TIME,当日実績(万kW)
2019/05/31,00:00,1254
2019/05/31,01:00,1201
2019/05/31,02:00,1205
2019/05/31,03:00,1234
2019/05/31,04:00,1235
2019/05/31,05:00,1211
2019/05/31,06:00,1252
2019/05/31,07:00,1363
2019/05/31,08:00,1559
2019/05/31,09:00,1706
2019/05/31,10:00,1737
2019/05/31,11:00,1734
2019/05/31,12:00,1615
2019/05/31,13:00,1725
2019/05/31,14:00,1730
2019/05/31,15:00,1688
2019/05/31,16:00,1667
2019/05/31,17:00,1591
2019/05/31,18:00,1563
2019/05/31,19:00,1541
2019/05/31,20:00,1483
2019/05/31,21:00,1437
2019/05/31,22:00,1387
2019/05/31,23:00,1327
